Nombre,Cedula,Años en la empresa, Horas trabajadas
Antonio,1094277056 c.c,34,5
Jose,1095432345 c.c,45,6
Manuel,1126449174 c.c,65,8
Francisco,1005062244 c.c,50,10
David,1003378591 c.c,23,9
Juan,1006409395 c.c,12,4
Jose Antonio,1007765121 c.c,32,20
Javier,1006499835 c.c,11,14
Daniel,1004843021 c.c,10,11
Jose Luis,1090363419 c.c,18,13
Francisco Javier,1005061414 c.c,25,12
Carlos,1006554237 c.c,64,2
Jesus,1003204571 c.c,23,30
Alejandro,1007834708 c.c,21,36
Miguel,1006946696 c.c,20,6
Jose Manuel,1005040309 c.c,27,6
Rafael,1003518794 c.c,17,5
Miguel Angel,1193148940 c.c,36,5
Pedro,1005084204 c.c,39,9
Angel,1005012515 c.c,22,13
Maria Carmen,1006409726 c.c,18,3
Maria,1127049150 c.c,23,25
Carmen,1004945244 c.c,45,22
Josefa,1063616329 c.c,26,12
Ana Maria,1006579933 c.c,45,10
Isabel,1057608039 c.c,44,4
Maria Pilar,1003428372 c.c,41,6
Maria Dolores,1003533093 c.c,23,36
Laura,1003259001 c.c,29,34
Maria Teresa,1005061380 c.c,33,15
Ana,1001275657 c.c,22,16
Cristina,1193574905 c.c,52,11,
Maria Angeles,1006778654 c.c,55,9
Marta,1005677880 c.c,40,2
Francisca,1006456017 c.c,22,5
Antonia,1005061306 c.c,18,4
Maria Isabel,1007385444 c.c,30,3
Maria Jose,1120580850 c.c,65,2
Lucia,1005040623 c.c,16,12
Dolores,1004624857 c.c,42,13
camila,1068482829 c.c,19,15
daniela,1083494845 c.c,10,17
paola,1034924856 c.c,66,18
melisa,112365556 c.c,52,19
alexa,1065535624 c.c,21,20
andrea,1006463568 c.c,48,36
zilvana,1009966349 c.c,35,15
karen,1094552371 c.c,17,11
Monica,1008562453 c.c,41,14
Natalia,1095364162 c.c,4,30
